           0         1                   2
0  -3.132160  0.032012                  C0
1  -1.924197  1.092878                  C0
2   0.506485  2.169236                  C0
3  -1.841936  2.970699                  C0
4   1.663835  0.902320                  C0
5   1.347670  2.507184                  C0
6   0.906082 -0.616425                  C0
7  -0.424781  3.194779                  C0
8   0.710616  1.747661                  C0
9   0.319855  3.083899                  C0
10 -3.249343 -1.302349                  C1
11 -3.894662 -0.098001                  C1
12 -3.748814 -0.508311                  C1
13 -2.323617 -0.883107                  C1
14 -3.795406 -1.998027                  C1
15 -3.553759  2.075790                  C1
16 -2.258489  0.340000                  C1
17 -3.396124  1.484340                  C1
18 -2.711332 -1.081713                  C1
19 -3.405522 -1.233175                  C1
20 -3.145327 -0.487384                  C2
21 -2.124185 -0.326975                  C2
22 -1.754098 -0.123257                  C2
23 -1.938832 -0.398431                  C2
24 -3.454642 -0.131798                  C2
25 -2.405942  0.425208                  C2
26 -2.625229 -0.101265                  C2
27 -1.981016 -0.048747                  C2
28 -2.245377 -0.578808                  C2
29 -2.745318 -1.076790                  C2
30 -1.621120 -1.191785                  C3
31 -1.794487 -0.791839                  C3
32  0.487554 -0.456122                  C3
33 -0.700520 -0.704317                  C3
34 -1.626866 -1.566346                  C3
35 -2.943879 -0.182724                  C3
36 -1.049298  0.083431                  C3
37 -1.169427 -0.688795                  C3
38 -0.789618 -0.720257                  C3
39 -1.002526 -1.489786                  C3
40  7.725554  0.069060                  C4
41  7.161180  0.766171                  C4
42  5.567454 -0.540341                  C4
43  7.199526  0.598618                  C4
44  7.060474  0.326986                  C4
45  8.107402 -0.733354                  C4
46  8.136742 -3.016891                  C4
47  5.209265 -0.586597                  C4
48  7.800402 -0.147399                  C4
49  6.867754 -0.059155                  C4
